																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
Spectrum	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	
																																																																																																																																																																																																									
																																																																																																																																																																																																									
Mass	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
[u]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	
																																																																																																																																																																																																									
																																																																																																																																																																																																									
234.0249	112.0	37.0	0.0	50.0	62.0	25.0	75.0	62.0	12.0	25.0	37.0	75.0	75.0	0.0	62.0	50.0	62.0	125.0	50.0	12.0	87.0	100.0	62.0	37.0	62.0	62.0	100.0	25.0	37.0	75.0	150.0	37.0	50.0	100.0	62.0	37.0	62.0	37.0	87.0	62.0	137.0	37.0	25.0	87.0	25.0	75.0	50.0	12.0	75.0	37.0	125.0	25.0	50.0	37.0	62.0	75.0	62.0	75.0	62.0	50.0	25.0	75.0	50.0	25.0	75.0	12.0	37.0	37.0	125.0	75.0	12.0	25.0	0.0	112.0	150.0	0.0	50.0	37.0	37.0	12.0	62.0	25.0	12.0	75.0	50.0	87.0	50.0	125.0	100.0	50.0	50.0	87.0	0.0	50.0	62.0	112.0	12.0	37.0	75.0	87.0	0.0	87.0	75.0	112.0	75.0	62.0	12.0	50.0	112.0	0.0	87.0	12.0	62.0	37.0	37.0	25.0	12.0	50.0	37.0	12.0	50.0	37.0	12.0	100.0	37.0	100.0	112.0	100.0	62.0	75.0	75.0	50.0	25.0	62.0	37.0	87.0	50.0	62.0	0.0	12.0	62.0	37.0	12.0	87.0	87.0	75.0	100.0	62.0	62.0	62.0	62.0	0.0	87.0	100.0	87.0	75.0	0.0	62.0	37.0	12.0	37.0	112.0	75.0	50.0	37.0	12.0	75.0	87.0	37.0	37.0	0.0	62.0	100.0	12.0	75.0	87.0	25.0	12.0	25.0	0.0	50.0	87.0	12.0	62.0	87.0	100.0	62.0	12.0	0.0	75.0	87.0	37.0	62.0	50.0	137.0	25.0	12.0	37.0	137.0	12.0	
234.0327	37.0	0.0	75.0	12.0	62.0	125.0	50.0	37.0	75.0	112.0	37.0	12.0	50.0	87.0	50.0	100.0	37.0	25.0	37.0	75.0	87.0	75.0	112.0	87.0	62.0	75.0	37.0	25.0	37.0	62.0	37.0	62.0	37.0	50.0	37.0	0.0	37.0	112.0	50.0	137.0	50.0	100.0	37.0	12.0	37.0	62.0	37.0	125.0	12.0	25.0	37.0	87.0	87.0	25.0	25.0	87.0	12.0	62.0	62.0	75.0	112.0	37.0	37.0	100.0	0.0	150.0	12.0	62.0	87.0	87.0	12.0	25.0	75.0	62.0	87.0	37.0	50.0	62.0	125.0	137.0	100.0	62.0	87.0	0.0	12.0	37.0	50.0	87.0	37.0	50.0	100.0	62.0	50.0	100.0	75.0	62.0	125.0	175.0	25.0	50.0	100.0	62.0	25.0	50.0	75.0	112.0	75.0	100.0	100.0	37.0	12.0	50.0	37.0	75.0	100.0	37.0	62.0	125.0	12.0	100.0	87.0	75.0	12.0	50.0	75.0	25.0	62.0	62.0	75.0	75.0	25.0	12.0	37.0	50.0	50.0	37.0	25.0	0.0	37.0	75.0	25.0	12.0	125.0	37.0	37.0	87.0	12.0	175.0	25.0	75.0	62.0	25.0	50.0	125.0	100.0	150.0	50.0	37.0	25.0	37.0	25.0	37.0	75.0	25.0	50.0	100.0	75.0	25.0	25.0	62.0	125.0	50.0	137.0	25.0	50.0	37.0	25.0	25.0	50.0	37.0	125.0	87.0	37.0	62.0	37.0	62.0	37.0	62.0	25.0	12.0	62.0	0.0	25.0	75.0	37.0	87.0	37.0	37.0	112.0	62.0	
234.0405	12.0	62.0	62.0	50.0	25.0	125.0	100.0	25.0	62.0	12.0	87.0	50.0	12.0	50.0	25.0	50.0	50.0	37.0	25.0	25.0	137.0	12.0	75.0	62.0	25.0	37.0	50.0	12.0	62.0	25.0	12.0	62.0	87.0	0.0	50.0	112.0	37.0	12.0	0.0	37.0	50.0	75.0	50.0	25.0	75.0	50.0	37.0	87.0	37.0	37.0	25.0	87.0	62.0	50.0	37.0	100.0	25.0	162.0	50.0	62.0	25.0	25.0	125.0	37.0	100.0	25.0	50.0	112.0	62.0	25.0	12.0	212.0	75.0	0.0	75.0	75.0	87.0	62.0	75.0	12.0	62.0	125.0	75.0	37.0	75.0	25.0	25.0	62.0	37.0	37.0	12.0	75.0	37.0	62.0	37.0	162.0	0.0	37.0	75.0	25.0	62.0	37.0	37.0	75.0	75.0	25.0	75.0	25.0	12.0	100.0	25.0	50.0	50.0	50.0	50.0	50.0	150.0	100.0	25.0	100.0	125.0	100.0	25.0	12.0	37.0	25.0	62.0	62.0	87.0	62.0	37.0	12.0	62.0	37.0	62.0	100.0	50.0	62.0	62.0	12.0	87.0	37.0	50.0	100.0	50.0	112.0	62.0	87.0	62.0	37.0	25.0	62.0	75.0	25.0	75.0	87.0	75.0	62.0	37.0	12.0	50.0	37.0	87.0	62.0	62.0	50.0	125.0	50.0	112.0	150.0	112.0	37.0	125.0	25.0	25.0	87.0	25.0	50.0	50.0	12.0	25.0	62.0	25.0	87.0	50.0	12.0	25.0	12.0	37.0	62.0	37.0	25.0	50.0	37.0	37.0	62.0	125.0	112.0	0.0	87.0	
234.0483	87.0	37.0	25.0	25.0	37.0	37.0	12.0	12.0	37.0	75.0	12.0	37.0	37.0	75.0	50.0	12.0	12.0	37.0	87.0	100.0	100.0	137.0	125.0	0.0	37.0	37.0	0.0	112.0	75.0	50.0	75.0	62.0	87.0	62.0	75.0	62.0	50.0	37.0	37.0	0.0	62.0	25.0	100.0	12.0	37.0	50.0	12.0	62.0	50.0	100.0	75.0	50.0	25.0	12.0	25.0	37.0	0.0	87.0	25.0	75.0	75.0	37.0	37.0	75.0	87.0	87.0	37.0	100.0	75.0	0.0	62.0	50.0	75.0	25.0	0.0	62.0	87.0	50.0	62.0	137.0	12.0	37.0	25.0	87.0	87.0	87.0	137.0	25.0	75.0	62.0	62.0	125.0	75.0	37.0	50.0	75.0	75.0	37.0	50.0	75.0	50.0	50.0	37.0	112.0	62.0	25.0	62.0	100.0	87.0	112.0	62.0	50.0	50.0	12.0	87.0	50.0	25.0	12.0	50.0	50.0	75.0	25.0	25.0	50.0	37.0	162.0	25.0	37.0	25.0	50.0	62.0	137.0	50.0	50.0	50.0	112.0	162.0	37.0	100.0	100.0	62.0	62.0	125.0	62.0	62.0	100.0	50.0	25.0	12.0	100.0	87.0	62.0	12.0	62.0	137.0	75.0	25.0	62.0	75.0	100.0	12.0	62.0	75.0	125.0	37.0	50.0	50.0	62.0	62.0	62.0	37.0	87.0	50.0	37.0	0.0	75.0	87.0	25.0	50.0	75.0	12.0	0.0	62.0	62.0	87.0	75.0	50.0	100.0	12.0	75.0	162.0	75.0	100.0	87.0	37.0	25.0	75.0	75.0	75.0	100.0	
